Biscuit
3.0 oz
300 15 35
Biscuit w/Egg
4.7 oz
380 21 37
Biscuit w/Sausage
4.6 oz
490 33 36
Biscuit w/Sausage, Egg & Cheese
6.6 oz
620 43 37
Cini-minis, w/o Vanilla Icing
3.8 oz
440 23 51
Croissan'wichR w/Sausage & Cheese
3.7 oz
450 35 21
Croissan'wichR w/Sausage, Egg & Cheese
5.4 oz
530 41 23
French Toast Sticks
4.0 oz
440 23 51
Hash Brown Rounds
2.6 oz
240 15 25
Hash Brown Rounds
4.5 oz
410 26 42
Hash Brown Rounds
4.5 oz
410 26 42
Chicken TendersR
2.2 oz
180 11 9
Chicken TendersR
2.7 oz
230 14 11
Chicken TendersR
4.3 oz
350 22 17
A.M. ExpressR Dip
1.0 oz
80 0 21
A.M. ExpressR Grape Jam
0.4 oz
30 0 7
A.M. ExpressR Strawberry Jam
0.4 oz
30 0 8
Barbeque Dipping Sauce
1.0 oz
35 0 9
Bull'e EyeR Barbeque Sauce
0.5 oz
20 0 5
Honey Flavored Dipping Sauce
1.0 oz
90 0 23
Honey Mustard Dipping Sauce
1.0 oz
90 6 10
Ketchup
0.5 oz
15 0 4
King Sauce
0.5 oz
70 7 2
Land O'LakesR Whipped Classic Blend
0.4 oz
65 7 0
Mustard
0.1 oz
0 0 0
Ranch Dipping Sauce
1.0 oz
170 17 2
Reduced Fat Mayonnaise 
0.75 oz
70 6 3
Sweet & Sour Dipping Sauce
1.0 oz
45 0 11
Tartar Sauce
1.5 oz
260 29 0
Vanilla Icing for Cini-minis
1.0 oz
110 3 20
Dutch Apple Pie
4.0 oz
300 15 39
HERSHEY?'S Sundae Pie 
2.8 oz
310 18 33
2% Low Fat Milk
8 oz
130 5 12
Chocolate Shake
10.8 oz
330 7 58
Chocolate Shake
14.0 oz
440 10 75
Chocolate Shake, syrup added
16.0 oz
570 10 105
Chocolate Shake, syrup added
11.7 oz
390 7 72
Coca ColaR Classic
22 oz
280 0 70
Coffee
12 oz
5 0 1
Diet CokeR
22 oz
1 0 1
SpriteR
22 oz
260 0 66
Strawberry Shake, syrup added
11.7 oz
390 7 72
Strawberry Shake, syrup added
16.0 oz
550 9 104
TropicanaR Orange Juice
10 oz
140 0 33
Vanilla Shake
10.8 oz
330 7 56
Vanilla Shake
14.0 oz
430 9 73
Bacon Cheeseburger
4.9 oz
400 22 27
Bacon Double Cheeseburger
7.3 oz
620 38 28
Big KingR
7.7 oz
640 42 28
Cheeseburger
4.7 oz
360 19 27
Ddouble WhopperR w/Cheese, w/o Mayo
13.2 oz
850 50 47
Double Cheeseburger
7.0 oz
580 36 27
Double WhopperR
12.3 oz
920 59 47
Double WhopperR w/o Mayo
12.3 oz
760 42 47
Double WhopperR w/Cheese
13.2 oz
1010 67 47
Hamburger
4.2 oz
320 15 27
Homestyle Griller
4.1 oz
490 27 36
Smokehouse Cheddar Griller
4.1 oz
665 44 32
Veggie Burger
6.8 oz
360 13 46
Whopper Jr.R
5.6 oz
400 24 28
Whopper Jr.R w/Cheese, w/o Mayo
6.0 oz
370 19 28
Whopper Jr.R w/Cheese
6.0 oz
450 28 28
Whopper Jr.R, w/o Mayo
5.6 oz
320 15 28
WhopperR
9.5 oz
660 40 47
WhopperR w/Cheese
10.4 oz
760 48 47
WhopperR w/Cheese, w/o Mayo
10.4 oz
600 31 47
WhopperR w/o Mayo
9.5 oz
510 23 47
Hot Fudge Brownie Royale 
4.0 oz
440 19 62
French Fries, salted
6.0 oz
590 30 74
French Fries, salted
4.1 oz
400 21 50
French Fries, salted
2.6 oz
250 13 32
French Fries, unsalted
2.6 oz
250 13 32
French Fries, unsalted
4.1 oz
400 21 50
French Fries, unsalted
6.0 oz
590 30 74
Hash Brown Rounds
2.6 oz
240 15 25
Chicken Whopper
8.1 oz
430 24 32
Chicken Whopper Junior
6.8 oz
370 23 31
American Cheese, Processed
0.9 oz
90 8 0
BK BroilerR Chicken Breast Patty
3.5 oz
140 4 4
Bacon
0.3 oz
40 3 0
Ham
1.2 oz
35 1 0
Hamburger Bun
1.7 oz
130 2 24
Hamburger Patty
1.9 oz
170 13 0
Lettuce
0.8 oz
0 0 0
Onion
0.5 oz
5 0 1
Pickles
0.5 oz
0 0 0
Tomato
1.0 oz
5 0 1
WhopperR Bun
2.8 oz
220 4 39
WhopperR Patty
2.8 oz
250 19 0
BK Big FishR
8.9 oz
720 43 59
BK BroilerR Chicken
8.7 oz
530 26 45
BK BroilerR Chicken w/o Mayo
8.7 oz
370 9 45
Chick'N Crisp
4.9 oz
460 27 37
Chick'N Crisp w/Mayo
4.9 oz
360 16 37
Chicken
8.1 oz
710 43 54
Chicken w/o Mayo
8.1 oz
500 20 54
Onion Rings
5.3 oz
600 30 74
Onion Rings
3.3 oz
380 19 46
