Chow  Mein
9.4 oz
490 22 65 
Fried  Rice
9.3 oz
530 16 82 
Steamed  Rice
8.1 oz
380 0 86 
Eggplant & Tofu
6.1 oz
310 24 20 
Mixed  Veggies (Side)
8.6 oz
70 0.5 13 
Mixed  Veggies (Entree)
4.3 oz
35 0 7 
Black Pepper Chicken
6.1 oz
200 10 13 
Kung Pao Chicken
5.8 oz
240 14 13 
Mandarin Chicken
5.8 oz
310 16 8 
Mushroom Chicken
5.9 oz
180 9 10 
Orange Chicken
5.7 oz
420 21 43 
Potato Chicken
5.2 oz
190 9 19 
String  Bean Chicken  Breast
5.6 oz
160 6 12 
SweetFire Chicken  BreastTM
5.8 oz
440 18 53 
Sweet & Sour Chicken  Breast
5.5 oz
380 17 40 
Thai Cashew Chicken  Breast
5.5 oz
220 11 12 
Beijing BeefTM   
5.6 oz
690 40 57 
Broccoli Beef 
5.4 oz
120 4 13 
Shanghai Angus SteakTM
5.4 oz
220 7 19 
Crispy Shrimp
3.5 oz / 6 pcs
260 13 26 
Golden Treasure ShrimpTM   
5 oz
390 19 39 
Honey  Walnut  Shrimp
3.7 oz
370 23 27 
Peppercorn Shrimp
5.1 oz
170 5 18 
Chicken Egg Roll 
3 oz / 1 roll
200 12 16 
Chicken Potsticker 
3.3 oz / 3 pcs
220 11 23 
Cream Cheese Rangoon 
2.4 oz / 3 pcs
190 8 24 
Veggie Spring  Roll
3.4 oz / 2 rolls
160 7 22 
Hot  & Sour Soup
10.6 oz
100 3.5 12 
Mandarin Sauce
1.8 oz
160 0 40 
Sweet & Sour Sauce
1.8 oz
70 0 21 
Chili Sauce
1 Packet (7 g)
10 0 2 
Soy Sauce
1 Packet (7 g)
5 0 0 
Potsticker Sauce
1 Packet (11.4 g)
10 0 3 
Hot  Mustard
1 Packet 7 g
10 1 0 
Plum Sauce
1 Packet 7 g
15 0 3 
Fortune Cookies
8 g / 1 pc
32 0 7 
