Chick-n-StripsR
4.2 oz
230 8 10
NuggetsR
3.9 oz
290 14 12
Cheesecake
3.1 oz
270 21 7
Fudge Nut Brownie
2.6 oz
350 16 41
Lemon Pie
4 oz
280 22 19
Coca Cola ClassicR
9 oz
110 0 28
Diet CokeR
9 oz
0 0 0
Diet Lemonade
9 oz
5 0 2
Ice Tea, Sweetened
9 oz
150 0 38
Iced Tea, Unsweetened
9 oz
0 0 0
Lemonade
9 oz
90 0 23
IcedreamR Cone
4.5 oz
140 4 16
Waffle Potato FriesR, Salted
3 oz
290 10 42
Carrot & Raisin Salad
2.7 oz
150 2 28
Chargrilled Chicken Garden Salad
14 oz
190 5 12
Chick-n-Strips Salad
15.9 oz
370 17 21
Chicken Caesar Salad
8.1 oz
230 10 5
Cole Slaw
2.8 oz
130 6 11
Tossed Salad
4.6 oz
34 3 2
Chargrilled Chicken Club Sandwich, No Dressing
8.2 oz
390 12 38
Chargrilled Chicken SandwichR
5.3 oz
280 3 36
Chicken Deluxe Sandwich
8 oz
300 9 31
Chicken Salad Sandwich, On Whole Wheat
5.9 oz
320 5 42
Chicken Sandwich
6.0 oz
410 16 38
Hearty Breast of Chicken Soup
7.6 oz
110 1 10
